date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:39	1130/1130	---M-Z	200	added ('OK')	text/html	etag:%2246a-66a462cc-d4b42388adbc09d7;gz%22	https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/23b47.html	(from )
16:01:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Jul%202024%2008:01:43%20GMT	https://carnivales.biz/robots.txt		(from )
16:01:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Jul%202024%2008:01:44%20GMT	https://carnivales.biz/picture/favicon.ico	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/picture/favicon.ico	(from https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw)
16:01:40	733/733	---M-Z	200	added ('OK')	text/css	etag:%222dd-63dadfc8-781e74db4e8f8141;gz%22	https://carnivales.biz/css/desktop.css	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/css/desktop.css	(from https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw)
16:01:40	717/717	---M-Z	200	added ('OK')	text/css	etag:%222cd-63dae002-cbd2f2825554d6e9;gz%22	https://carnivales.biz/css/mobile.css	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/css/mobile.css	(from https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw)
16:01:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2027%20Jul%202024%2008:01:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/www.googletagmanager.com/gtm.45445.delayed	(from https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw)
16:01:41	294149/294149	---M--	200	added ('OK')	image/jpeg	etag:%2247d05-63d929e4-74c9edf32799e04f;;;%22	https://carnivales.biz/image/background.jpg	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/image/background.jpg	(from https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw)
16:01:41	342/342	---M-Z	200	added ('OK')	text/html	etag:%22156-66a462e3-c66f785ef31ff26f;gz%22	https://carnivales.biz/assets/load2.html	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/assets/load2.html	(from https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw)
16:01:41	7821/7821	---M--	200	added ('OK')	image/png	etag:%221e8d-63d929e4-eea0a5e21f2d7988;;;%22	https://carnivales.biz/image/M/btn.png	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/image/M/btn.png	(from https://carnivales.biz/2.html?utm_medium=paid&utm_source=fb&utm_id=120213584782890667&utm_content=120213713338430667&utm_term=120213713338420667&utm_campaign=120213584782890667&fbclid=IwY2xjawERiKFleHRuA2FlbQIxMAABHWeZ35wdhwchTgf3RE14buglYJ5p8k-pCwoPNFH4k_EPzAbl5obNokRkYA_aem_Le4YHdd3n_G0YuUPzJGYtw)
16:01:41	288256/288256	---M--	200	added ('OK')	image/jpeg	etag:%2246600-63d929e4-ee0c1b0e9e675c65;;;%22	https://carnivales.biz/image/M/background.jpg	C:/Users/User/OneDrive/Pictures/DC88/TOSPIN/DC88/carnivales.biz/image/M/background.jpg	(from https://carnivales.biz/css/mobile.css)
